Header,Description
What are the rights of a consumer ?,"The consumer has the following rights:-
ï¿½ the right to be protected against the marketing of goods and services which are hazardous to life and property;
ï¿½ the right to be informed about the quality,quantity,potency,purity,standard and price of goods or services so as to protect the consumer against unfair trade practices;
ï¿½ the right to be assured, wherever possible, access to a variety of goods and services at competitive prices;
ï¿½ the right to be heard and to be assured that consumer's interests will receive due consideration at appropriate for a;
ï¿½ the right to seek redressal against unfair trade practices or restrictive trade practices or unscrupulous exploitation of consumers and
ï¿½ the right to consumer education."
What is a consumer Dispute ?,"Sec.2(1)(e) of the C.P.Act defines the term consumer dispute.
Consumer Dispute means a dispute where the person against whom a complaint has been made, denies or disputes the allegations contained in the complaint.
However, if after the complaint is made , there is no denial by the opposite party in respect of the allegations made therein, there can be no consumer dispute"
What is meant by the term ï¿½goods' ?,"Under sect.2(1)(i) of the C.P.Act, the term goods means goods as defined in the Sale of Goods Act,1930.
Accordingly,the goods means every kind of moveable property other than actionable claims and money, and includes stock and share, growing crops,grass, and things attached to or forming part of the land which are agreed to be severed before sale or under the contract of sale.
Things like good will,copy right, trade mark,patent, gas, electricity, motor vehicles,ship etc. are also treated as goods."
What is meant by the term ï¿½service' ?,"As per sct.2(1)(o) of the Act, the service means service of any description which may be made available to any potential user. It includes the services like banking, insurance, financing, transport, processing, supply of electicity, board or lodging or both, housing construction, entertainment, amusement,or the purveying of news or other information.
However,it does not include the rendering of any service free of charge or under a contract of personal service. ï¿½Where there is relationship like that of master and servant, it is ï¿½contract of personal service' and is excluded from the perview of the Act.ï¿½ It is so held in case ï¿½Indian Medical Association vs V.P.Shantha,1995 SCALE 273."
What is meant by Spurious goods and service ?,"As per sect.2(1)(oo) of the Act,spurious goods and services means such goods services which claimed to be genuine but they are actually not so."
What is unfair trade practice?,"As per sect. 2(1)(r ) of the Act, ï¿½unfair trade practiceï¿½ means any unfair or deceptive method or practice used for promoting sale or supply of goods or services at the deteriment of the consumers as an unfair trade practice.These include making of a statement which may falsely represent:-
ï¿½ that the goods provided are of a particular standard, quality, quantity,grade, composition, style or model;
ï¿½ that the services rendered are of a particular standard, quality or grade;
ï¿½ that any goods are new which are basically rebuilt,secondhand, renovated, reconditioned or old goods;
ï¿½ that the goods or services have a particular sponsership,approval or affiliation, performance, characteristics, accessories,uses or benefits;
ï¿½ that any goods or services are useful for a particular purpose.
Following are also the unfair trade practices:
ï¿½ giving of a warranty for any goods or services to public not supported by adequate or proper test;
ï¿½ making a false promise to replace, maintain or repair an article or continue service until it has achieved a particular result;
ï¿½ making of false claims regarding price of goods or services or
ï¿½ falsely representing any facts disparaging the goods, services or trade of another person,
ï¿½ making advertisements for sale or supply at a bargain price of goods or services but not actually intended to be offered at that price. ï¿½Bargain priceï¿½ for this purpose, has been defined as the price that has been stated in any advertisement to be the bargain price, by reference the ordinary price or the price that a person may reasonably understand to be the bargain price in terms of the advertisement.
The other common unfair trade practices are:-
ï¿½ offering of gifts or prizes with the intention of actually not providing them and covering them fully or partly by the amount charged in the transaction;
ï¿½ conduct of contests, lotteries, games of chance or skill to promote sale, use of supply of the prduct or business interests;
ï¿½ withholding final results or information about any gifts or prizes offered in connection with some transaction;
ï¿½ sale or supply of goods complying with the prescribed standards with respect of content, composition, design,finishing or packaging;
ï¿½ hoarding or destruction of goods or refusal to sell goods or provide services intended to raise their cost;
  manufacture or sale of spurious goods; and
  adopting deceptive practices in the provision of services."
In what form the fee is to be paid ?,"The fee is to be paid in the form of crossed Demand Draft drawn on a nationalized bank or through a crossed Indian Postal Order in favour of the President of the District Forum, Registrar of the State Commission or the National Commission as the case may be, and that shall be payable at the respective place wher the district forum,the state commission or the national commission is situated.
Enforcement of orders of the Forum."
Does a complainant has to pay fee alongwith the complaint?,"Yes, the complaint has to be accompanied by a fee as specified in the table given under Rule 9A of the consumer protection Rules,1987."
Does a complainant need to engage a lawyer ?,"No. It is not necessary to engage a lawyer. Regulation no.26 (4) of the Consumer Protection Regulations,2005, specifies that the consumer forum shall not insist upon the parties to engage advocates.
( Engaging an advocate only increases the chances of winning the case )."
Who can file a complaint ?,"A complaint can be filed by :-
ï¿½ a consumer; or
ï¿½ any voluntary consumer association registered under the companies act,1956 or under any other law for the time being in force; or
ï¿½ the central Govt. or any state Govt.; or
ï¿½ one or more consumers, when there are numerous consumers having same interest; or
ï¿½ in case of death of a consumer, the legal heir or representative."
What is ï¿½defect' ?,"As per sect.2(1)(f) of the Act , the defect means any kind of fault , imperfection or shortcoming in the quality, quantity, potency or standard of goods, which are required to be maintained under any law, contract or usage or practice in a trade."
What is the complaint ?,"Under sect. 2 (1)(c) of the Act, the complaint means any allegation made in writing by a complainant that ï¿½
an unfair trade practice or a restrictive trade practice has been adopted by any trader or service provider;
the goods bought by him or agreed to be bought by him suffer from one or more defects
the services hired or availed of agreed to be hired or availed of by him suffer from deficiency in any respect;
the trader or the service provider, as the case may be, has charged for the goods or for the services mentioned in the complaint, a price in excess of the priceï¿½
ï¿½ fixed by or under any law for the time being in force;
ï¿½ displayed on the goods or any package containing such goods;
ï¿½ displayed on the price list exhibited by him or under any law for the time being in force;
ï¿½ one or more consumers, when there are numerous consumers having same interest; or
ï¿½ agreed between the parties;
  goods which will be hazardous to life and safety when used are being offered for sale to the public- 
ï¿½ in contravention of any standards relating to safety of such goods as required to be complied with , by or under any law for the time being in force;
ï¿½ if the trader could have known with due diligence that the goods so offered are unsafe to the public.
ï¿½ services which are hazardous or likely to be hazardous to life and safety of the public when used, are being offered by the service provider which such person could have known with due diligence to be injurious to life and safety;
with a view to obtain any relief under the Act."
What is deficiency ?,"As per sect. 2(!)(g) of the Act, the deficiency means any fault, imperfection,shortcoming or inadequacy in the quality,nature and manner of performance n rendering any service required to be maintained under any law, contract or otherwise."
Where an appeal against the orders of District Forum lies ?,An appeal against the orders of district forum can be filed before its respective State Consumer DisputeRedressal commission.
What is restrictive trade practice ?,"As per sect. 2(1)(nnn) o the Act, restrictive trade practice means any trade practice which tends to bring about manipulation of price of goods or services or their conditions of delivery or flow of supplies insuch a manner as to impose on the consumers unjustified costs or retrictions
It also include:
ï¿½ delay beyond the period agreed to by a trader in supply of such goods or in providing the services which has led or is likely to lead to rise in the price;
ï¿½ any trade practice which requires a consumer to guy,hire or avail of any goods or,as the case may be,services as condition precedent to buying, hiring,availing of other goods or services"
What is the limitation for filing an appeal?,"An appeal against the orders of District forum can be filed before the State commission within the period of thirty days from the date of such order.
However,the state commission may entertain an appeal after the expiry of the said period if it is satisfied that there was sufficient cause for not filing it within that period.
Further, the appellant has to deposit fifty per cent of the decree amount or twenty-thousand rupees,which ever less."
How the orders of Forum are enforced ?,"If the interim order of aForum is not complied with the relevant forum may order for attachment of the property of the person concerned, which shall remain force for three months,and if the non-compliance continues, the property so attached may be sold and out of the proceeds thereof the damages may be awarded to the complainant and the balance amount paid to the parties entitled thereto.
Further, if any amount becomes due to any person under the orders of a Forum, he can make an application to such forum for issuance of a recovery certificate to the collector of the district to recover the same as arrears of land revenue. (sect.25 of the Act)."
"Can a person who fails or omits to comply with any order of a Forum, be punished?","Yes. If any person fails or omits to comply with the order of a Forum, he may be punished with imprisonment up to three years or with fine o f Rs.2000/- which may extend to Rs 10,000/- or with both.
Limitation and Appeal."
Is there any limitation for filing a complaint?,"Yes,there is a limitation of two years for filing a complaint. A complaint can be filed within the period of two years from the date on which the cause of action has arisen.
However, a complaint may be entertained after the period of two years, if the complainant satisfies the Forum that he has sufficient cause for not filing the complaint within such period and the Forum records its reasons for condoning such delay."
What else is important about Consumer Laws?,"Please go through the following additional tips and provisions of Consumer Protection Act.
- The consumers must have a proof of having purchased the goods or availed of the services.
- The consumer must ensure that all the relevant facts in support of his case are clearly and specifically stated in the complaint.
- The complainant shall file the complaint in the district forum in whose jurisdiction the Opposite Party has is residing or working for gain or having any office or in whose jurisdiction the cause of action has arisen. The consumers should ensure that prescribed fee is paid through crossed Demand Draft / or Indian Postal Order.
- The complaint is instituted in the proper forum within the period of two years from the date of cause of action.
- The last para of the complaint should state in the Prayer Clause, the relief, compensation etc. sought from the Forum.
Be careful about the Consumer Forum where the case is to be filed.
      Section 11 of Consumer Protection provides in this regards as follows. Jurisdiction of the District Forum.ï¿½
(1) Subject to the other provisions of this Act, the District Forum shall have jurisdiction to entertain complaints where the value of the goods or services and the compensation, if any, claimed ''does not exceed rupees twenty  lakhs.
 (2) A complaint shall be instituted in a District Forum within the local limits of whose jurisdiction,ï¿½
      (a) The opposite party or each of the opposite parties, where there are more than one, at the time of the institution of    the complaint, actually and voluntarily resides or carries on business or has a branch office or personally works for gain, or
      (b) Any of the opposite parties, where there are more than one, at the time of the institution of the complaint, actually  and voluntarily resides, or carries on business or has a branch office, or personally works for gain, provided that in such  case either the permission of the District Forum is given, or the opposite parties who do not reside, or carry on business or  have a branch office, or personally work for gain, as the case may be, acquiesce in such institution; or
      (c) The cause of action, wholly or in part, arises.
 Pay required Court Fees Prescribed fee for making complaint
- District Forum:
upto one lakh rupees Rs. 100
Nil for BPL
Above one lakh & upto five lakh Rs. 200
Above five lakh & upto ten lakh Rs. 400 Above ten lakh & upto twenty lakh Rs. 500
- State Commission:
Above twenty lakh & upto fifty lakh Rs. 2000
Above fifty lakh & upto one crore Rs. 4000
- National Commission:
Above one crore rupees Rs. 5000
  Pecuniary Jurisdiction
The consumers forum shall have Jurisdiction to entertain complaint
- If claim is </= Rs.20 lacs, in the District Consumer Disputes Redressal forum (DCDRF).
- If > Rs.20 lacs < Rs.1 crore, in the State Consumer Disputes Redressal Commission,
- If > Rs.1 crore, in the National Consumer Disputes Redressal Commission, A-wing, Janpath Bhavan, New Delhi-110011."
Why do drug-addicted persons keep using drugs?,"Nearly all addicted individuals believe at the outset that they can stop using drugs on their own, and most try to stop without treatment. Although some people are successful, many attempts result in failure to achieve long-term abstinence. Research has shown that long-term drug abuse results in changes in the brain that persist long after a person stops using drugs. These drug-induced changes in brain function can have many behavioral consequences, including an inability to exert control over the impulse to use drugs despite adverse consequencesï¿½the defining characteristic of addiction.
Understanding that addiction has such a fundamental biological component may help explain the difficulty of achieving and maintaining abstinence without treatment. Psychological stress from work, family problems, psychiatric illness, pain associated with medical problems, social cues (such as meeting individuals from oneï¿½s drug-using past), or environmental cues (such as encountering streets, objects, or even smells associated with drug abuse) can trigger intense cravings without the individual even being consciously aware of the triggering event. Any one of these factors can hinder attainment of sustained abstinence and make relapse more likely. Nevertheless, research indicates that active participation in treatment is an essential component for good outcomes and can benefit even the most severely addicted individuals."
What is drug addiction treatment?,"Drug treatment is intended to help addicted individuals stop compulsive drug seeking and use. Treatment can occur in a variety of settings, take many different forms, and last for different lengths of time. Because drug addiction is typically a chronic disorder characterized by occasional relapses, a short-term, one-time treatment is usually not sufficient. For many, treatment is a long-term process that involves multiple interventions and regular monitoring.
There are a variety of evidence-based approaches to treating addiction. Drug treatment can include behavioral therapy (such as cognitive-behavioral therapy or contingency management), medications, or their combination. The specific type of treatment or combination of treatments will vary depending on the patientï¿½s individual needs and, often, on the types of drugs they use.
Treatment medications, such as methadone, buprenorphine, and naltrexone (including a new long-acting formulation), are available for individuals addicted to opioids, while nicotine preparations (patches, gum, lozenges, and nasal spray) and the medications varenicline and bupropion are available for individuals addicted to tobacco. Disulfiram, acamprosate, and naltrexone are medications available for treating alcohol dependence,1 which commonly co-occurs with other drug addictions, including addiction to prescription medications.
Treatments for prescription drug abuse tend to be similar to those for illicit drugs that affect the same brain systems. For example, buprenorphine, used to treat heroin addiction, can also be used to treat addiction to opioid pain medications. Addiction to prescription stimulants, which affect the same brain systems as illicit stimulants like cocaine, can be treated with behavioral therapies, as there are not yet medications for treating addiction to these types of drugs.
Behavioral therapies can help motivate people to participate in drug treatment, offer strategies for coping with drug cravings, teach ways to avoid drugs and prevent relapse, and help individuals deal with relapse if it occurs. Behavioral therapies can also help people improve communication, relationship, and parenting skills, as well as family dynamics.
Many treatment programs employ both individual and group therapies. Group therapy can provide social reinforcement and help enforce behavioral contingencies that promote abstinence and a non-drug-using lifestyle. Some of the more established behavioral treatments, such as contingency management and cognitive-behavioral therapy, are also being adapted for group settings to improve efficiency and cost-effectiveness. However, particularly in adolescents, there can also be a danger of unintended harmful (or iatrogenic) effects of group treatmentï¿½sometimes group members (especially groups of highly delinquent youth) can reinforce drug use and thereby derail the purpose of the therapy. Thus, trained counselors should be aware of and monitor for such effects.
Because they work on different aspects of addiction, combinations of behavioral therapies and medications (when available) generally appear to be more effective than either approach used alone.
Finally, people who are addicted to drugs often suffer from other health (e.g., depression, HIV), occupational, legal, familial, and social problems that should be addressed concurrently. The best programs provide a combination of therapies and other services to meet an individual patientï¿½s needs. Psychoactive medications, such as antidepressants, anti-anxiety agents, mood stabilizers, and antipsychotic medications, may be critical for treatment success when patients have co-occurring mental disorders such as depression, anxiety disorders (including post-traumatic stress disorder), bipolar disorder, or schizophrenia. In addition, most people with severe addiction abuse multiple drugs and require treatment for all substances abused."
How effective is drug addiction treatment?,"In addition to stopping drug abuse, the goal of treatment is to return people to productive functioning in the family, workplace, and community. According to research that tracks individuals in treatment over extended periods, most people who get into and remain in treatment stop using drugs, decrease their criminal activity, and improve their occupational, social, and psychological functioning. For example, methadone treatment has been shown to increase participation in behavioral therapy and decrease both drug use and criminal behavior. However, individual treatment outcomes depend on the extent and nature of the patientï¿½s problems, the appropriateness of treatment and related services used to address those problems, and the quality of interaction between the patient and his or her treatment providers.
Like other chronic diseases, addiction can be managed successfully. Treatment enables people to counteract addictionï¿½s powerful disruptive effects on the brain and behavior and to regain control of their lives. The chronic nature of the disease means that relapsing to drug abuse is not only possible but also likely, with symptom recurrence rates similar to those for other well-characterized chronic medical illnessesï¿½such as diabetes, hypertension, and asthma (see figure, ""Comparison of Relapse Rates Between Drug Addiction and Other Chronic Illnessesï¿½)ï¿½that also have both physiological and behavioral components.
Unfortunately, when relapse occurs many deem treatment a failure. This is not the case: Successful treatment for addiction typically requires continual evaluation and modification as appropriate, similar to the approach taken for other chronic diseases. For example, when a patient is receiving active treatment for hypertension and symptoms decrease, treatment is deemed successful, even though symptoms may recur when treatment is discontinued. For the addicted individual, lapses to drug abuse do not indicate failureï¿½rather, they signify that treatment needs to be reinstated or adjusted, or that alternate treatment is needed (see figure, ""Why is Addiction Treatment Evaluated Differently?"")."
Is drug addiction treatment worth its cost?,"Substance abuse costs our Nation over $600 billion annually and treatment can help reduce these costs. Drug addiction treatment has been shown to reduce associated  health and social costs by far more than the cost of the treatment itself. Treatment is also much less expensive than its alternatives, such as incarcerating addicted persons. For example, the average cost for 1 full year of methadone maintenance treatment is approximately $4,700 per patient, whereas 1 full year of imprisonment costs approximately $24,000 per person.
According to several conservative estimates, every dollar invested in addiction treatment programs yields a return of between $4 and $7 in reduced drug-related crime, criminal justice costs, and theft. When savings related to healthcare are included, total savings can exceed costs by a ratio of 12 to 1. Major savings to the individual and to society also stem from fewer interpersonal conflicts; greater workplace productivity; and fewer drug-related accidents, including overdoses and deaths."
How long does drug addiction treatment usually last?,"Individuals progress through drug addiction treatment at various rates, so there is no predetermined length of treatment. However, research has shown unequivocally that good outcomes are contingent on adequate treatment length. Generally, for residential or outpatient treatment, participation for less than 90 days is of limited effectiveness, and treatment lasting significantly longer is recommended for maintaining positive outcomes. For methadone maintenance, 12 months is considered the minimum, and some opioid-addicted individuals continue to benefit from methadone maintenance for many years.
Treatment dropout is one of the major problems encountered by treatment programs; therefore, motivational techniques that can keep patients engaged will also improve outcomes. By viewing addiction as a chronic disease and offering continuing care and monitoring, programs can succeed, but this will often require multiple episodes of treatment and readily readmitting patients that have relapsed."
What helps people stay in treatment?,"Because successful outcomes often depend on a personï¿½s staying in treatment long enough to reap its full benefits, strategies for keeping people in treatment are critical. Whether a patient stays in treatment depends on factors associated with both the individual and the program. Individual factors related to engagement and retention typically include motivation to change drug-using behavior; degree of support from family and friends; and, frequently,  pressure from the criminal justice system, child protection services, employers, or family. Within a treatment program, successful clinicians can establish a positive, therapeutic relationship with their patients. The clinician should ensure that a treatment plan is developed cooperatively with the person seeking treatment, that the plan is followed, and that treatment expectations are clearly understood. Medical, psychiatric, and social services should also be available.
Because some problems (such as serious medical or mental illness or criminal involvement) increase the likelihood of patients dropping out of treatment, intensive interventions may be required to retain them. After a course of intensive treatment, the provider should ensure a transition to less intensive continuing care to support and monitor individuals in their ongoing recovery."
How do we get more substance-abusing people into treatment?,"It has been known for many years that the ""treatment gapï¿½ is massiveï¿½that is, among those who need treatment for a substance use disorder, few receive it. In 2011, 21.6 million persons aged 12 or older needed treatment for an illicit drug or alcohol use problem, but only 2.3 million received treatment at a specialty substance abuse facility.
Reducing this gap requires a multipronged approach. Strategies include increasing access to effective treatment, achieving insurance parity (now in its earliest phase of implementation), reducing stigma, and raising awareness  among both patients and healthcare professionals of the value of addiction treatment. To assist physicians in identifying treatment need in their patients and making appropriate referrals, NIDA is encouraging widespread use of screening, brief intervention, and referral to treatment (SBIRT) tools for use in primary care settings through its NIDAMED initiative. SBIRT, which evidence shows to be effective against tobacco and alcohol useï¿½and, increasingly, against abuse of illicit and prescription drugsï¿½has the potential not only to catch people before serious drug problems develop, but also to identify people in need of treatment and connect them with appropriate treatment providers."
How can family and friends make a difference in the life of someone needing treatment?,"Family and friends can play critical roles in motivating individuals with drug problems to enter and stay in treatment. Family therapy can also be important, especially for adolescents. Involvement of a family member or significant other in an individual's treatment program can strengthen and extend treatment benefits."
Where can family members go for information on treatment options?,"Trying to locate appropriate treatment for a loved one, especially finding a program tailored to an individual's particular needs, can be a difficult process. However, there are some resources to help with this process."
How can the workplace play a role in substance abuse treatment?,"Many workplaces sponsor Employee Assistance Programs (EAPs) that offer short-term counseling and/or assistance in linking employees with drug or alcohol problems to local treatment resources, including peer support/recovery groups. In addition, therapeutic work environments that provide employment for drug-abusing individuals who can demonstrate abstinence have been shown not only to promote a continued drug-free lifestyle but also to improve job skills, punctuality, and other behaviors necessary for active employment throughout life. Urine testing facilities, trained personnel, and workplace monitors are needed to implement this type of treatment."
What are the unique needs of women with substance use disorders?,"Gender-related drug abuse treatment should attend not only to biological differences but also to social and environmental factors, all of which can influence the motivations for drug use, the reasons for seeking treatment, the types of environments where treatment is obtained, the treatments that are most effective, and the consequences of not receiving treatment. Many life circumstances predominate in women as a group, which may require a specialized treatment approach. For example, research has shown that physical and sexual trauma followed by post-traumatic stress disorder (PTSD) is more common in drug-abusing women than in men seeking treatment. Other factors unique to women that can influence the treatment process include issues around how they come into treatment (as women are more likely than men to seek the assistance of a general or mental health practitioner), financial independence, and pregnancy and child care."
What are the unique needs of pregnant women with substance use disorders?,"Using drugs, alcohol, or tobacco during pregnancy exposes not just the woman but also her developing fetus to the substance and can have potentially deleterious and even long-term effects on exposed children. Smoking during pregnancy can increase risk of stillbirth, infant mortality, sudden infant death syndrome, preterm birth, respiratory problems, slowed fetal growth, and low birth weight. Drinking during pregnancy can lead to the child developing fetal alcohol spectrum disorders, characterized by low birth weight and enduring cognitive and behavioral problems.
Prenatal use of some drugs, including opioids, may cause a withdrawal syndrome in newborns called neonatal abstinence syndrome (NAS). Babies with NAS are at greater risk of seizures, respiratory problems, feeding difficulties, low birth weight, and even death.
Research has established the value of evidence-based treatments for pregnant women (and their babies), including medications. For example, although no medications have been FDA-approved to treat opioid dependence in pregnant women, methadone maintenance combined with prenatal care and a comprehensive drug treatment program can improve many of the detrimental outcomes associated with untreated heroin abuse. However, newborns exposed to methadone  during pregnancy still require treatment for withdrawal symptoms. Recently, another medication option for opioid dependence, buprenorphine, has been shown to produce fewer NAS symptoms in babies than methadone, resulting in shorter infant hospital stays. In general, it is important to closely monitor women who are trying to quit drug use during pregnancy and to provide treatment as needed."
What are the unique needs of adolescents with substance use disorders?,"Adolescent drug abusers have unique needs stemming from their immature neurocognitive and psychosocial stage of development. Research has demonstrated that the brain undergoes a prolonged process of development and refinement from birth through early adulthood. Over the course of this developmental period, a young personï¿½s actions go from being more impulsive to being more reasoned and reflective. In fact, the brain areas most closely associated with aspects of behavior such as decision-making, judgment, planning, and self-control undergo a period of rapid development during adolescence and young adulthood.
Adolescent drug abuse is also often associated with other co-occurring mental health problems. These include attention-deficit hyperactivity disorder (ADHD), oppositional defiant disorder, and conduct problems, as well as depressive and anxiety disorders.
Adolescents are also especially sensitive to social cues, with peer groups and families being highly influential during this time. Therefore, treatments that facilitate positive parental involvement, integrate other systems in which the adolescent participates (such as school and athletics), and recognize the importance of prosocial peer relationships are among the most effective. Access to comprehensive  assessment, treatment, case management, and family-support services that are developmentally, culturally, and gender-appropriate is also integral when addressing adolescent addiction.
Medications for substance abuse among adolescents may in certain cases be helpful. Currently, the only addiction medications approved by FDA for people under 18 are over-the-counter transdermal nicotine skin patches, chewing gum, and lozenges (physician advice should be sought first). Buprenorphine, a medication for treating opioid addiction that must be prescribed by specially trained physicians, has not been approved for adolescents, but recent research suggests it could be effective for those as young as 16. Studies are under way to determine the safety and efficacy of this and other medications for opioid-, nicotine-, and alcohol-dependent adolescents and for adolescents with co-occurring disorders."
Are there specific drug addiction treatments for older adults?,"With the aging of the baby boomer generation, the composition of the general population is changing dramatically with respect to the number of older adults. Such a change, coupled with a greater history of lifetime drug use (than previous older generations), different cultural norms and general attitudes about drug use, and increases in the availability of psychotherapeutic medications, is already leading to greater drug use by older adults and may increase substance use problems in this population. While substance abuse in older adults often goes unrecognized and therefore untreated, research indicates that currently available addiction treatment programs can be as effective for them as for younger adults."
Can a person become addicted to medications prescribed by a doctor?,"Yes. People who abuse prescription drugsï¿½that is, taking them in a manner or a dose other than prescribed, or taking medications prescribed for another personï¿½risk addiction and other serious health consequences. Such drugs include opioid pain relievers, stimulants used to treat ADHD, and benzodiazepines to treat anxiety or sleep disorders. Indeed, in 2010, an estimated 2.4 million people 12 or older met criteria for abuse of or dependence on prescription drugs, the second most common illicit drug use after marijuana. To minimize these risks, a physician (or other prescribing health provider) should screen patients for prior or current substance abuse problems and assess their family history of substance abuse or addiction before prescribing a psychoactive medication and monitor patients who are prescribed such drugs. Physicians also need to educate patients about the potential risks so that they will follow their physicianï¿½s instructions faithfully, safeguard their medications, and dispose of them appropriately."
Is there a difference between physical dependence and addiction?,"Yes. Addictionï¿½or compulsive drug use despite harmful consequencesï¿½is characterized by an inability to stop using a drug; failure to meet work, social, or family obligations; and, sometimes (depending on the drug), tolerance and withdrawal. The latter reflect physical dependence in which the body adapts to the drug, requiring more of it to achieve a certain effect (tolerance) and eliciting drug-specific physical or mental symptoms if drug use is abruptly ceased (withdrawal). Physical  dependence can happen with the chronic use of many drugsï¿½including many prescription drugs, even if taken as instructed. Thus, physical dependence in and of itself does not constitute addiction, but it often accompanies addiction. This distinction can be dificult to discern, particularly with prescribed pain medications, for which the need for increasing dosages can represent tolerance or a worsening underlying problem, as opposed to the beginning of abuse or addiction."
How do other mental disorders coexisting with drug addiction affect drug addiction treatment?,"Drug addiction is a disease of the brain that frequently occurs with other mental disorders. In fact, as many as 6 in 10 people with an illicit substance use disorder also suffer from another mental illness; and rates are similar for users of licit drugsï¿½i.e., tobacco and alcohol. For these individuals, one condition becomes more difficult to treat successfully as an additional condition is intertwined. Thus, people entering treatment either for a substance use disorder or for another mental disorder should be assessed for the co-occurrence of the other condition. Research indicates that treating both (or multiple) illnesses simultaneously in an integrated fashion is generally the best treatment approach for these patients."
Is the use of medications like methadone and buprenorphine simply replacing one addiction with another?,"No. Buprenorphine and methadone are prescribed or administered under monitored, controlled conditions and are safe and effective for treating opioid addiction when used as directed. They are administered orally or sublingually (i.e., under the tongue) in specified doses, and their effects differ from those of heroin and other abused opioids.
Heroin, for example, is often injected, snorted, or smoked, causing an almost immediate ""rush,"" or brief period of intense euphoria, that wears off quickly and ends in a ""crash."" The individual then experiences an intense craving to use the drug again to stop the crash and reinstate the euphoria.
The cycle of euphoria, crash, and cravingï¿½sometimes repeated several times a dayï¿½is a hallmark of addiction and results in severe behavioral disruption. These characteristics result from heroinï¿½s rapid onset and short duration of action in the brain.
In contrast, methadone and buprenorphine have gradual onsets of action and produce stable levels of the drug in the brain. As a result, patients maintained on these medications do not experience a rush, while they also markedly reduce their desire to use opioids.
If an individual treated with these medications tries to take an opioid such as heroin, the euphoric effects are usually dampened or suppressed. Patients undergoing maintenance treatment do not experience the physiological or behavioral abnormalities from rapid fluctuations in drug levels associated with heroin use. Maintenance treatments save livesï¿½they help to stabilize individuals, allowing treatment of their medical, psychological, and other problems so they can contribute effectively as members of families and of society."
Where do 12-step or self-help programs fit into drug addiction treatment?,"Self-help groups can complement and extend the effects of professional treatment. The most prominent self-help groups are those affiliated with Alcoholics Anonymous (AA), Narcotics Anonymous (NA), and Cocaine Anonymous (CA), all of which are based on the 12-step model. Most drug addiction treatment programs encourage patients to participate in self-help group therapy during and after formal treatment. These groups can be particularly helpful during recovery, offering an added layer of community-level social support to help people achieve and maintain abstinence and other healthy lifestyle behaviors over the course of a lifetime."
Can exercise play a role in the treatment process?,"Yes. Exercise is increasingly becoming a component of many treatment programs and has proven effective, when combined with cognitive-behavioral therapy, at helping people quit smoking. Exercise may exert beneficial effects by addressing psychosocial and physiological needs that nicotine replacement alone does not, by reducing negative feelings and stress, and by helping prevent weight gain following cessation. Research to determine if and how exercise programs can play a similar role in the treatment of other forms of drug abuse is under way."
"How does drug addiction treatment help reduce the spread of HIV/AIDS, Hepatitis C (HCV), and other infectious diseases?","Drug-abusing individuals, including injecting and non-injecting drug users, are at increased risk of human immunodeficiency virus (HIV), hepatitis C virus (HCV), and other infectious diseases. These diseases are transmitted by sharing contaminated drug injection equipment and by engaging in risky sexual behavior sometimes associated with drug use. Effective drug abuse treatment is HIV/HCV prevention because it reduces activities that can spread disease, such as sharing injection equipment and engaging in unprotected sexual activity. Counseling that targets a range of HIV/HCV risk behaviors provides an added level of disease prevention.
Injection drug users who do not enter treatment are up to six times more likely to become infected with HIV than those who enter and remain in treatment. Participation in treatment also presents opportunities for HIV screening and referral to early HIV treatment. In fact, recent research showed that providing rapid onsite HIV testing in substance abuse treatment facilities increased patientsï¿½ likelihood of being tested and of receiving their test results. HIV counseling and testing are key aspects of superior drug abuse treatment programs and should be offered to all individuals entering treatment. Greater availability of inexpensive and unobtrusive rapid HIV tests should increase access to these important aspects of HIV prevention and treatment."
What are the different types of accounts which can be maintained by an NRI1/PIO2 in India?,"If a person is NRI or PIO, she/ he can, without the permission from the Reserve Bank, open, hold and maintain the different types of accounts given below with an Authorised Dealer in India, i.e. a bank authorised to deal in foreign exchange. NRO Savings accounts can also be maintained with the Post Offices in India."
